"REVIEW_ID","ENTITY","ATTRIBUTE"
"ChZDSUhNMG9nS0VJQ0FnSURmNklpNEF3EAE","meal","expensive"
"ChdDSUhNMG9nS0VJQ0FnSURmLXZpY3hnRRAB","ordering","don't order at all"
"ChZDSUhNMG9nS0VJQ0FnSURmNk9meUtBEAE","spuds","never have"
"ChZDSUhNMG9nS0VJQ0FnSURmc1A3bVhnEAE","location","10 minutes wait"
"ChdDSUhNMG9nS0VJQ0FnSURmbUk2N293RRAB","order","sitting"
"ChZDSUhNMG9nS0VJQ0FnSURmMExpWUpREAE","pretzels","loved"
"ChZDSUhNMG9nS0VJQ0FnSURmLXNteFhBEAE","company","dishonest"
"ChdDSUhNMG9nS0VJQ0FnSURwODdQMXdBRRAB","way of preparation","sloppy"
"ChdDSUhNMG9nS0VJQ0FnSURmZ3Z6ZWpnRRAB","store","closed during the middle of the day"
"ChdDSUhNMG9nS0VJQ0FnSURmdXYzZXB3RRAB","location","always liked"
"ChdDSUhNMG9nS0VJQ0FnSURmLXJTbnRBRRAB","basic stuff","almost always out"
"ChdDSUhNMG9nS0VJQ0FnSURmeHRTQWp3RRAB","service","good"
"ChdDSUhNMG9nS0VJQ0FnSURmdXYzZXB3RRAB","dining room","potential customers"
"ChZDSUhNMG9nS0VJQ0FnSURmbExQZENnEAE","environment","dark"
"ChZDSUhNMG9nS0VJQ0FnSURmLXJDS0JBEAE","Moe's","not a good thing"
"ChdDSUhNMG9nS0VJQ0FnSURmeHNhdmxBRRAB","attitude","can-do"
"ChZDSUhNMG9nS0VJQ0FnSURmNVBHMWJREAE","charge","double"
"ChZDSUhNMG9nS0VJQ0FnSURmdklxaUpnEAE","ranch","amazing"
"ChdDSUhNMG9nS0VJQ0FnSURmeHBYMHNBRRAB","lady","miserable"
"ChZDSUhNMG9nS0VJQ0FnSURmd3JDYlVBEAE","price","dishonoring"
"ChdDSUhNMG9nS0VJQ0FnSURmeHZlUW9RRRAB","rude behavior","uncalled for"
"ChZDSUhNMG9nS0VJQ0FnSURmbU9YdkxnEAE","lettuce","brown"
"ChdDSUhNMG9nS0VJQ0FnSUNIbXBXQ3B3RRAB","personalities of staff and manager","friendly"
"ChdDSUhNMG9nS0VJQ0FnSURmeXNmbDF3RRAB","lady's work","detailed"
"ChZDSUhNMG9nS0VJQ0FnSURmMkpQQ1B3EAE","restaurant","less busy"
"ChZDSUhNMG9nS0VJQ0FnSURmNHR6X2ZBEAE","missing cinnamon roll","ridiculous"
"ChdDSUhNMG9nS0VJQ0FnSURmbUk2N293RRAB","waiting time","waiting"
"ChZDSUhNMG9nS0VJQ0FnSURmNk9meUtBEAE","restaurant","ridiculous"
"ChdDSUhNMG9nS0VJQ0FnSURmaHBqMi1BRRAB","atmosphere","clean"
"ChdDSUhNMG9nS0VJQ0FnSURma3BiNHJ3RRAB","Jamba juice","great atmosphere"
"ChdDSUhNMG9nS0VJQ0FnSURmdXFhTzl3RRAB","chunks of lettuce","huge"
"ChdDSUhNMG9nS0VJQ0FnSURmbXVQYzZ3RRAB","temperature","no consistency"
"ChZDSUhNMG9nS0VJQ0FnSURmdXJQbmJ3EAE","prices","crazy"
"ChdDSUhNMG9nS0VJQ0FnSURmLXZpY3hnRRAB","website","blame it on Doordash"
"ChZDSUhNMG9nS0VJQ0FnSURmbEt2aVBnEAE","visit","early"
"ChZDSUhNMG9nS0VJQ0FnSURmLUpHdVFBEAE","bill","overcharged"
"ChdDSUhNMG9nS0VJQ0FnSURmeU1TQWh3RRAB","Moe’s","didn’t know"
"ChZDSUhNMG9nS0VJQ0FnSURmMkpQQ1B3EAE","meals","not as ordered"
"ChZDSUhNMG9nS0VJQ0FnSURmNk9meUtBEAE","restaurant","crap together"
"ChdDSUhNMG9nS0VJQ0FnSURmbUlEajBRRRAB","bread","extra grilled"
"ChZDSUhNMG9nS0VJQ0FnSURmX0x2Y1ZREAE","portion standard","criminal"
"ChdDSUhNMG9nS0VJQ0FnSURmeHRpMndRRRAB","spot","favorite"
"ChdDSUhNMG9nS0VJQ0FnSURmaHBiRnNRRRAB","tofu","small"
"ChdDSUhNMG9nS0VJQ0FnSURmNUxYQnNnRRAB","sandwich, soup, salad, iced tea","variety"
"ChdDSUhNMG9nS0VJQ0FnSURmb3VUUzJRRRAB","restaurant","baked potatoes"
"ChdDSUhNMG9nS0VJQ0FnSUNGMjg3Z2tRRRAB","service","PAINFULLY slow"
"ChdDSUhNMG9nS0VJQ0FnSURmNE5fa3FRRRAB","attitude of the sales staff","unbelievable"
"ChZDSUhNMG9nS0VJQ0FnSURmb3VfX0R3EAE","Mccalisters location","improved"
"ChdDSUhNMG9nS0VJQ0FnSURmbkpfdnRnRRAB","Dave","peak hours"
"ChZDSUhNMG9nS0VJQ0FnSURmZ3ZlaktBEAE","friend","allergic to pork"
"ChdDSUhNMG9nS0VJQ0FnSURmNlBlSHZBRRAB","recommendation","thumbs up"
